"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 16 23:27:19 GMT 2024","Sat Mar 16 23:27:21 GMT 2024","2308","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson11_pom_explicit_waits.ActionsPractices","com.emir.tests.lesson11_pom_explicit_waits.ActionsPractices","test_text_after_drag_and_hold_inside_of_the_big_circle","test_text_after_drag_and_hold_inside_of_the_big_circle",""
"passed","Sat Mar 16 23:27:13 GMT 2024","Sat Mar 16 23:27:15 GMT 2024","2097","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson10_upload_actions_jsexecutor.JavaScriptExecutorPractice2","com.emir.tests.lesson10_upload_actions_jsexecutor.JavaScriptExecutorPractice2","test_jsExecutor","test_jsExecutor",""
"passed","Sat Mar 16 23:26:57 GMT 2024","Sat Mar 16 23:26:58 GMT 2024","577","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson05_testNG_intro_dropdowns.Select_State_On_Dropdown","com.emir.tests.lesson05_testNG_intro_dropdowns.Select_State_On_Dropdown","select_state_test","select_state_test",""
"passed","Sat Mar 16 23:27:33 GMT 2024","Sat Mar 16 23:27:36 GMT 2024","2441","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.quick_reviews.TestNG_DataProvider","com.emir.tests.quick_reviews.TestNG_DataProvider","test_google_search","test_google_search",""
"passed","Sat Mar 16 23:27:36 GMT 2024","Sat Mar 16 23:27:36 GMT 2024","0","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.quick_reviews.BeforeAndAfterClassAnnotations","com.emir.tests.quick_reviews.BeforeAndAfterClassAnnotations","test1","test1",""
"passed","Sat Mar 16 23:27:00 GMT 2024","Sat Mar 16 23:27:00 GMT 2024","211","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson06_alerts_iframes_windows.AlertPractices","com.emir.tests.lesson06_alerts_iframes_windows.AlertPractices","testing_confirmation_alert","testing_confirmation_alert",""
"passed","Sat Mar 16 23:27:00 GMT 2024","Sat Mar 16 23:27:00 GMT 2024","243","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson06_alerts_iframes_windows.AlertPractices","com.emir.tests.lesson06_alerts_iframes_windows.AlertPractices","testing_prompt_alert","testing_prompt_alert",""
"passed","Sat Mar 16 23:27:36 GMT 2024","Sat Mar 16 23:27:36 GMT 2024","0","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.quick_reviews.BeforeAndAfterMethodAnnotations","com.emir.tests.quick_reviews.BeforeAndAfterMethodAnnotations","test1","test1",""
"passed","Sat Mar 16 23:26:57 GMT 2024","Sat Mar 16 23:26:59 GMT 2024","1894","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson05_testNG_intro_dropdowns.Select_Date_On_Dropdown","com.emir.tests.lesson05_testNG_intro_dropdowns.Select_Date_On_Dropdown","dateDropdown_Test","dateDropdown_Test",""
"broken","Sat Mar 16 23:30:20 GMT 2024","Sat Mar 16 23:30:20 GMT 2024","1","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson12_review.DoubleClick_Practice","com.emir.tests.lesson12_review.DoubleClick_Practice","setupMethod","setupMethod",""
"passed","Sat Mar 16 23:27:02 GMT 2024","Sat Mar 16 23:27:07 GMT 2024","5573","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson07_webtables_utilities_javafaker.LoginScenario","com.emir.tests.lesson07_webtables_utilities_javafaker.LoginScenario","test_login2","test_login2",""
"passed","Sat Mar 16 23:27:19 GMT 2024","Sat Mar 16 23:27:20 GMT 2024","138","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson11_pom_explicit_waits.POM_Practices","com.emir.tests.lesson11_pom_explicit_waits.POM_Practices","test_invalid_email_format_error_message","test_invalid_email_format_error_message",""
"passed","Sat Mar 16 23:27:36 GMT 2024","Sat Mar 16 23:27:36 GMT 2024","0","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.quick_reviews.BeforeAndAfterMethodAnnotations","com.emir.tests.quick_reviews.BeforeAndAfterMethodAnnotations","test2","test2",""
"passed","Sat Mar 16 23:27:29 GMT 2024","Sat Mar 16 23:27:39 GMT 2024","10093","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.quick_reviews.Iframe","com.emir.tests.quick_reviews.Iframe","iframe_test","iframe_test",""
"passed","Sat Mar 16 23:27:09 GMT 2024","Sat Mar 16 23:27:09 GMT 2024","291","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson09_review_javafaker_driverUtil.JavaFakerPractice","com.emir.tests.lesson09_review_javafaker_driverUtil.JavaFakerPractice","java_faker_test","java_faker_test",""
"passed","Sat Mar 16 23:27:09 GMT 2024","Sat Mar 16 23:27:13 GMT 2024","3961","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson09_review_javafaker_driverUtil.BingSearch","com.emir.tests.lesson09_review_javafaker_driverUtil.BingSearch","test_bing_search","test_bing_search",""
"passed","Sat Mar 16 23:27:20 GMT 2024","Sat Mar 16 23:27:22 GMT 2024","2285","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.quick_reviews.DragAndDrop","com.emir.tests.quick_reviews.DragAndDrop","drag_and_drop_test","drag_and_drop_test",""
"passed","Sat Mar 16 23:27:36 GMT 2024","Sat Mar 16 23:27:36 GMT 2024","108","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.quick_reviews.WindowHandling","com.emir.tests.quick_reviews.WindowHandling","window_handling_test","window_handling_test",""
"passed","Sat Mar 16 23:27:34 GMT 2024","Sat Mar 16 23:27:34 GMT 2024","86","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.quick_reviews.SelectDropdown","com.emir.tests.quick_reviews.SelectDropdown","select_dropdown_test","select_dropdown_test",""
"passed","Sat Mar 16 23:27:01 GMT 2024","Sat Mar 16 23:27:11 GMT 2024","10209","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.lesson06_alerts_iframes_windows.Iframe_Practice","com.emir.tests.lesson06_alerts_iframes_windows.Iframe_Practice","testing_iframe","testing_iframe",""
"passed","Sat Mar 16 23:27:32 GMT 2024","Sat Mar 16 23:27:33 GMT 2024","1280","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.quick_reviews.PageObjectModel","com.emir.tests.quick_reviews.PageObjectModel","login_page_test","login_page_test",""
"passed","Sat Mar 16 23:27:29 GMT 2024","Sat Mar 16 23:27:29 GMT 2024","32","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.quick_reviews.JavaFaker","com.emir.tests.quick_reviews.JavaFaker","java_faker_test","java_faker_test",""
"passed","Sat Mar 16 23:27:22 GMT 2024","Sat Mar 16 23:27:27 GMT 2024","4310","All Test Suite","C:/Users/emirt/IdeaProjects/Selenium-TestNG-Maven/src/test/java/com/emir/tests","com.emir.tests.quick_reviews.HoverOver","com.emir.tests.quick_reviews.HoverOver","hover_over_test","hover_over_test",""
